Carl Herrera,0.066666667,301990,0,0,0.201342282,0,0.758064516,0.489130435,0.388349515,0.532110092,0.595744681,0.547486034,0.486666667,0.025,0.019417476,0.375,0.68115942,0.670454545,0.7953125,0.632478632,0.183908046,0.411764706,0.350877193,0.37037037,0.682926829,0.526923077,0.662724307,0.590909091,0.371428571,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negele Knight,0.043971631,311990,0,0.75,0.798657718,0.19047619,0.832258065,0.434782609,0.432038835,0.311926606,0,0,0.331111111,0,0,0.425,0.463768116,0.5,0.7046875,0.111111111,0.620689655,0.352941176,0.01754386,0.537037037,0.609756098,0.453846154,0.610929853,0.227272727,0.142857143,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Oliver,0.021749409,321990,0,0.75,0.832214765,0.768707483,0.880645161,0.456521739,0.402912621,0.419724771,0.478723404,0.458100559,0.446666667,0.2,0.203883495,0.385,0.362318841,0.397727273,0.6984375,0.256410256,0.482758621,0.294117647,0.01754386,0.462962963,0.634146341,0.446153846,0.836052202,0.363636364,0.342857143,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walter Palmer,0.023640662,331990,0,0.75,0.563758389,0,0.361290323,0.304347826,0.247572816,0.493119266,0.425531915,0.396648045,0.453333333,0,0.009708738,0.111,0.275362319,0.295454545,0.7390625,0.299145299,0.034482759,0.088235294,0.456140351,0.314814815,0.87804878,0.284615385,0.160277325,0.772727273,0.371428571,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Pritchard,0.026004728,341990,0,0.75,0.912751678,0.87755102,0.680645161,0.336956522,0.330097087,0.353211009,0.340425532,0.340782123,0.382222222,0.275,0.262135922,0.406,0.260869565,0.272727273,0.7484375,0.051282051,0.413793103,0.382352941,0.035087719,0.388888889,0.634146341,0.353846154,0.840130506,0.318181818,0.171428571,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Foster,0.050591017,351990,0,0.75,0.651006711,0.442176871,0.5,0.22826087,0.233009709,0.339449541,0.35106383,0.38547486,0.295555556,0,0,0,0.15942029,0.204545455,0.571875,0.290598291,0.103448276,0.058823529,0.175438596,0.296296296,0.682926829,0.2,0.703099511,0.681818182,0.514285714,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Wilson,0.027895981,361990,0,0.75,0.825503356,0.632653061,0.719354839,0.47826087,0.441747573,0.378440367,0.595744681,0.625698324,0.335555556,0,0.009708738,0.167,0.362318841,0.522727273,0.45625,0.521367521,0.275862069,0.205882353,0.052631579,0.5,0.682926829,0.434615385,0.808319739,0.5,0.342857143,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Scheffler,0.037825059,391990,0,0.75,0.718120805,0.408163265,0.474193548,0.27173913,0.160194175,0.80733945,0.393617021,0.301675978,0.744444444,0,0,0,0.376811594,0.397727273,0.7109375,0.264957265,0.08045977,0.058823529,0.035087719,0.203703704,0.487804878,0.288461538,0.896003263,0.590909091,0.571428571,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimbo Coles,0.153664303,401990,0,0.75,0.751677852,0.503401361,0.829032258,0.695652174,0.752427184,0.220183486,0.670212766,0.759776536,0.244444444,0.325,0.388349515,0.324,0.68115942,0.715909091,0.7078125,0.179487179,0.551724138,0.529411765,0.035087719,0.555555556,0.707317073,0.715384615,0.683931485,0.227272727,0.171428571,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Bardo,0.023640662,411990,0,0.75,0.845637584,0.612244898,0.606451613,0.130434783,0.169902913,0.243119266,0.212765957,0.251396648,0.191111111,0.125,0.097087379,0.455,0.173913043,0.204545455,0.634375,0.213675214,0.436781609,0.264705882,0.052631579,0.37037037,0.609756098,0.153846154,0.895187602,0.409090909,0.228571429,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Liberty,0.043026005,421990,0,0.25,0.416107383,0.360544218,0.603225806,0.413043478,0.383495146,0.371559633,0.510638298,0.530726257,0.331111111,0.05,0.048543689,0.424,0.289855072,0.295454545,0.740625,0.299145299,0.137931034,0.294117647,0.105263158,0.296296296,0.56097561,0.369230769,0.933523654,0.545454545,0.314285714,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Massenburg,0.09787234,431990,0,0.75,0.731543624,0.56462585,0.603225806,0.380434783,0.330097087,0.435779817,0,0,0.393333333,0,0,0,0.31884058,0.420454545,0.54375,0.393162393,0.057471264,0.117647059,0.157894737,0.314814815,0.658536585,0.35,0.839722675,0.590909091,0.4,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Henson,0.042080378,441990,0,0.75,0.832214765,0.149659864,0.893548387,0.315217391,0.354368932,0.25,0.244680851,0.290502793,0.195555556,0.475,0.40776699,0.447,0.333333333,0.295454545,0.9453125,0.051282051,0.528735632,0.411764706,0.01754386,0.425925926,0.585365854,0.384615385,0.852365416,0.136363636,0.154285714,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Davis,0.305910165,451990,0,0.75,0.798657718,0.632653061,0.590322581,0.22826087,0.194174757,0.470183486,0.35106383,0.340782123,0.422222222,0,0,0,0.304347826,0.420454545,0.4765625,0.367521368,0.057471264,0.088235294,0.157894737,0.259259259,0.487804878,0.238461538,0.627243067,0.590909091,0.371428571,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derek Strong,0.111583924,471990,0,0.5,0.624161074,0.421768707,0.641935484,0.347826087,0.27184466,0.550458716,0.468085106,0.430167598,0.495555556,0,0,0,0.608695652,0.590909091,0.7921875,0.564102564,0.08045977,0.205882353,0.105263158,0.407407407,0.780487805,0.4,0.509380098,0.545454545,0.4,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedric Ceballos,0.215130024,481990,0,0.25,0.369127517,0.387755102,0.903225806,0.782608696,0.781553398,0.298165138,0.808510638,0.865921788,0.311111111,0.2,0.262135922,0.305,0.579710145,0.693181818,0.5875,0.760683761,0.183908046,0.441176471,0.070175439,0.611111111,0.609756098,0.734615385,0.640293638,0.454545455,0.228571429,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Smith,0.055791962,511990,0,0.75,0.744966443,0.353741497,0.803225806,0.456521739,0.402912621,0.431192661,0.521276596,0.519553073,0.402222222,0.125,0.106796117,0.43,0.449275362,0.443181818,0.765625,0.196581197,0.471264368,0.470588235,0.087719298,0.537037037,0.634146341,0.453846154,0.603588907,0.318181818,0.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Higgins,0.026004728,541990,0,0.5,0.463087248,0.238095238,0.535483871,0.391304348,0.378640777,0.360091743,0.361702128,0.368715084,0.355555556,0.35,0.310679612,0.448,0.130434783,0.136363636,0.765625,0.128205128,0.195402299,0.058823529,0.052631579,0.333333333,0.536585366,0.365384615,0.905791191,0.590909091,0.314285714,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Simmons,0.104018913,71990,0,0.75,0.859060403,0.891156463,1,0.902173913,0.815533981,0.385321101,0.968085106,1,0.346666667,0.1,0.097087379,0.415,0.666666667,0.738636364,0.6671875,0.777777778,0.310344828,0.5,0.333333333,0.537037037,0.536585366,0.830769231,0.442495922,0.5,0.342857143,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jud Buechler,0.10212766,381990,0,0.75,0.859060403,0.503401361,0.480645161,0.239130435,0.194174757,0.490825688,0.319148936,0.296089385,0.493333333,0.075,0.077669903,0.381,0.173913043,0.193181818,0.7,0.264957265,0.229885057,0.235294118,0.052631579,0.277777778,0.414634146,0.219230769,0.830342577,0.454545455,0.4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Henderson,0.024113475,491990,0,0.75,0.751677852,0.503401361,0.567741935,0.347826087,0.344660194,0.346330275,0.35106383,0.357541899,0.38,0.275,0.27184466,0.4,0.246376812,0.25,0.7546875,0.094017094,0.218390805,0.294117647,0.035087719,0.388888889,0.487804878,0.35,0.811990212,0.363636364,0.171428571,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miloš Babić,0.023640662,501990,0,0.5,0.516778523,0,0.622580645,0.391304348,0.398058252,0.309633028,0.510638298,0.569832402,0.264444444,0,0.009708738,0.286,0.304347826,0.363636364,0.58125,0.487179487,0.103448276,0.205882353,0.245614035,0.555555556,0.780487805,0.353846154,0.34502447,0.727272727,0.514285714,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdul Shamsid-Deen,0.024113475,531990,0,0.75,0.724832215,0.115646259,0.270967742,0.119565217,0.111650485,0.412844037,0.244680851,0.245810056,0.362222222,0,0,0,0.115942029,0.170454545,0.4921875,0.205128205,0.034482759,0.058823529,0.175438596,0,0.634146341,0.107692308,0.761011419,0.681818182,0.428571429,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Johnson,0.353664303,11991,0.033333333,0.25,0.483221477,0,0.777419355,0.760869565,0.514563107,0.711009174,0.829787234,0.642458101,0.715555556,0.1,0.106796117,0.349,0.623188406,0.625,0.771875,0.803418803,0.287356322,0.529411765,0.210526316,0.462962963,0.682926829,0.715384615,0.761011419,0.454545455,0.571428571,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Anderson,0.319621749,21991,0.033333333,0.25,0.416107383,0.43537415,0.993548387,0.804347826,0.781553398,0.321100917,0.734042553,0.759776536,0.348888889,0.425,0.446601942,0.374,0.507246377,0.511363636,0.76875,0.324786325,0.804597701,0.735294118,0.01754386,0.722222222,0.512195122,0.769230769,0.911500816,0.181818182,0.102857143,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Owens,0.159338061,31991,0.033333333,0.5,0.67114094,0.700680272,0.890322581,0.619565217,0.558252427,0.394495413,0.680851064,0.675977654,0.393333333,0.125,0.145631068,0.325,0.463768116,0.545454545,0.6046875,0.598290598,0.425287356,0.588235294,0.157894737,0.481481481,0.707317073,0.573076923,0.838499184,0.545454545,0.4,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dikembe Mutombo,0.577304965,41991,0.033333333,0.5,0.624161074,0.163265306,0.519354839,0.27173913,0.174757282,0.713302752,0.393617021,0.318435754,0.653333333,0,0,0,0.289855072,0.375,0.540625,0.581196581,0.091954023,0.088235294,0.649122807,0.314814815,0.585365854,0.265384615,0.939641109,0.818181818,0.542857143,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Smith,0.419858156,51991,0.033333333,0.75,0.798657718,0.37414966,0.867741935,0.608695652,0.572815534,0.353211009,0.595744681,0.61452514,0.346666667,0.3,0.281553398,0.416,0.47826087,0.5,0.7203125,0.367521368,0.425287356,0.235294118,0.052631579,0.574074074,0.634146341,0.596153846,0.871941272,0.5,0.285714286,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doug Smith,0.038297872,61991,0.033333333,0.75,0.838926174,0.56462585,0.706451613,0.630434783,0.563106796,0.405963303,0.744680851,0.759776536,0.366666667,0,0.019417476,0.174,0.362318841,0.386363636,0.70625,0.547008547,0.287356322,0.382352941,0.175438596,0.481481481,0.804878049,0.542307692,0.88050571,0.636363636,0.4,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luc Longley,0.106855792,71991,0.033333333,0.75,0.865771812,0,0.648387097,0.445652174,0.334951456,0.580275229,0.563829787,0.502793296,0.526666667,0,0,0,0.347826087,0.375,0.6875,0.435897436,0.275862069,0.176470588,0.438596491,0.481481481,0.536585366,0.4,0.664355628,0.818181818,0.657142857,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Macon,0.024586288,81991,0.033333333,0.75,0.825503356,0.43537415,0.967741935,0.717391304,0.791262136,0.206422018,0.617021277,0.737430168,0.204444444,0.5,0.504854369,0.374,0.391304348,0.397727273,0.75625,0.324786325,0.32183908,0.617647059,0.01754386,0.333333333,0.56097561,0.680769231,0.636623165,0.363636364,0.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stacey Augmon,0.231205674,91991,0.033333333,0.75,0.953020134,0.244897959,0.709677419,0.434782609,0.354368932,0.509174312,0.489361702,0.43575419,0.517777778,0.175,0.155339806,0.42,0.333333333,0.397727273,0.596875,0.435897436,0.344827586,0.529411765,0.157894737,0.407407407,0.634146341,0.419230769,0.745921697,0.454545455,0.314285714,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bison Dele,0.131914894,101991,0.033333333,0.75,0.624161074,0.380952381,0.558064516,0.413043478,0.305825243,0.598623853,0.531914894,0.469273743,0.544444444,0,0,0,0.275362319,0.329545455,0.61875,0.401709402,0.068965517,0.176470588,0.210526316,0.37037037,0.682926829,0.361538462,0.853181077,0.590909091,0.485714286,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrell Brandon,0.3356974,111991,0.033333333,0.25,0.362416107,0.19047619,0.990322581,0.75,0.713592233,0.346330275,0.712765957,0.731843575,0.362222222,0.35,0.359223301,0.38,0.579710145,0.556818182,0.8046875,0.153846154,0.632183908,0.558823529,0.01754386,0.666666667,0.512195122,0.738461538,0.858482871,0.136363636,0.171428571,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Anthony,0.193853428,121991,0.033333333,1,0.906040268,0.414965986,0.741935484,0.336956522,0.368932039,0.23853211,0.319148936,0.363128492,0.26,0.3,0.32038835,0.379,0.333333333,0.386363636,0.64375,0.111111111,0.793103448,0.676470588,0.052631579,0.5,0.609756098,0.369230769,0.705138662,0.181818182,0.148571429,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
